"filename", "language", "Vue", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package-lock.json", "JSON", 0, 29, 0, 0, 0, 29
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\package.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\App.vue", "Vue", -5, 0, 0, 0, -1, -6
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\AsideMenu.vue", "Vue", 0, 0, 0, 0, -1, -1
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\components\LoginAndRegister.vue", "Vue", 3, 0, 0, 0, 2, 5
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\main.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\AnswerView.vue", "Vue", -97, 0, 0, -16, -26, -139
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\CreateView.vue", "Vue", 31, 0, 0, 1, 0, 32
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\LoginView.vue", "Vue", -47, 0, 0, 47, 0, 0
"c:\Users\胡斌\Desktop\软工\软工1\QuestionPlanet\question_planet_vue\src\views\ManageView.vue", "Vue", 22, 0, 0, -2, 8, 28
"Total", "-", -93, 30, 0, 30, -17, -50